chr	start	end	rDHS_accession	cCRE_accession	group
chr19	8149847	8150097	EH38D3039192	EH38E1937076	PLS
chr19	8150200	8150521	EH38D3039193	EH38E1937077	pELS
chr19	8154064	8154322	EH38D3039197	EH38E1937081	dELS,CTCF-bound
chr19	8154561	8154802	EH38D3039198	EH38E1937082	dELS
chr19	8154861	8155199	EH38D3039199	EH38E1937083	dELS,CTCF-bound
chr19	8158518	8158863	EH38D3039202	EH38E1937084	CTCF-only,CTCF-bound
chr19	8161186	8161530	EH38D3039203	EH38E1937085	dELS
chr19	8163897	8164240	EH38D3039205	EH38E1937086	dELS
chr19	8180053	8180399	EH38D3039212	EH38E1937090	dELS
chr19	8180907	8181241	EH38D3039213	EH38E1937091	dELS
chr19	8192268	8192478	EH38D3039223	EH38E1937096	dELS
chr19	8192500	8192786	EH38D3039224	EH38E1937097	dELS
chr19	8193226	8193402	EH38D3039225	EH38E1937098	dELS
chr19	8193813	8194020	EH38D3039226	EH38E1937099	dELS
chr19	8194022	8194296	EH38D3039227	EH38E1937100	dELS,CTCF-bound
chr19	8194538	8194806	EH38D3039228	EH38E1937101	dELS
chr19	8194866	8195088	EH38D3039229	EH38E1937102	dELS
chr19	8195257	8195601	EH38D3039230	EH38E1937103	dELS
chr19	8196628	8196845	EH38D3039231	EH38E1937104	dELS,CTCF-bound
chr19	8197444	8197785	EH38D3039232	EH38E1937105	dELS
chr19	8203628	8203821	EH38D3039237	EH38E1937108	dELS
chr19	8203843	8204132	EH38D3039238	EH38E1937109	dELS
chr19	8204175	8204395	EH38D3039239	EH38E1937110	dELS
chr19	8204962	8205284	EH38D3039241	EH38E1937112	dELS,CTCF-bound
chr19	8206595	8206937	EH38D3039242	EH38E1937113	dELS
chr19	8208216	8208566	EH38D3039243	EH38E1937114	pELS,CTCF-bound
chr19	8208806	8209026	EH38D3039244	EH38E1937115	pELS,CTCF-bound
chr19	8209031	8209307	EH38D3039245	EH38E1937116	PLS,CTCF-bound
chr19	8209427	8209777	EH38D3039246	EH38E1937117	pELS,CTCF-bound
chr19	8209792	8210107	EH38D3039247	EH38E1937118	pELS,CTCF-bound
chr19	8210116	8210358	EH38D3039248	EH38E1937119	pELS
chr19	8210424	8210582	EH38D3039249	EH38E1937120	pELS,CTCF-bound
chr19	8210613	8210961	EH38D3039250	EH38E1937121	pELS,CTCF-bound
chr19	8211276	8211554	EH38D3039251	EH38E1937122	dELS
chr19	8211909	8212115	EH38D3039252	EH38E1937123	dELS
chr19	8212245	8212595	EH38D3039253	EH38E1937124	dELS
chr19	8214779	8215109	EH38D3039256	EH38E1937127	dELS
chr19	8224870	8225215	EH38D3039262	EH38E1937133	dELS
chr19	8240379	8240729	EH38D3039277	EH38E1937140	pELS,CTCF-bound
chr19	8240821	8241167	EH38D3039278	EH38E1937141	pELS
chr19	8242242	8242576	EH38D3039280	EH38E1937142	dELS
chr19	8246102	8246409	EH38D3039284	EH38E1937144	dELS,CTCF-bound
chr19	8246463	8246810	EH38D3039285	EH38E1937145	dELS
chr19	8252990	8253330	EH38D3039287	EH38E1937147	dELS,CTCF-bound
chr19	8258104	8258427	EH38D3039295	EH38E1937152	dELS
chr19	8268336	8268512	EH38D3039300	EH38E1937155	dELS,CTCF-bound
chr19	8268714	8268987	EH38D3039301	EH38E1937156	dELS,CTCF-bound
chr19	8269035	8269384	EH38D3039302	EH38E1937157	dELS,CTCF-bound
chr19	8304879	8305065	EH38D3039309	EH38E1937163	dELS
chr19	8306652	8306963	EH38D3039313	EH38E1937165	pELS
chr19	8307493	8307664	EH38D3039315	EH38E1937167	pELS,CTCF-bound
chr19	8307735	8307892	EH38D3039316	EH38E1937168	pELS,CTCF-bound
chr19	8308047	8308274	EH38D3039317	EH38E1937169	PLS,CTCF-bound
chr19	8308277	8308438	EH38D3039318	EH38E1937170	PLS,CTCF-bound
chr19	8308617	8308947	EH38D3039319	EH38E1937171	pELS
chr19	8311397	8311742	EH38D3039324	EH38E1937172	dELS,CTCF-bound
chr19	8311905	8312184	EH38D3039325	EH38E1937173	dELS,CTCF-bound
chr19	8317034	8317333	EH38D3039333	EH38E1937177	dELS,CTCF-bound
chr19	8318913	8319131	EH38D3039334	EH38E1937178	dELS,CTCF-bound
chr19	8320168	8320491	EH38D3039335	EH38E1937179	pELS,CTCF-bound
chr19	8320542	8320730	EH38D3039336	EH38E1937180	pELS,CTCF-bound
chr19	8320822	8320980	EH38D3039337	EH38E1937181	pELS,CTCF-bound
chr19	8321052	8321207	EH38D3039338	EH38E1937182	pELS,CTCF-bound
chr19	8321250	8321599	EH38D3039339	EH38E1937183	PLS,CTCF-bound
chr19	8321727	8321899	EH38D3039340	EH38E1937184	pELS,CTCF-bound
chr19	8322099	8322302	EH38D3039341	EH38E1937185	pELS,CTCF-bound
chr19	8322371	8322555	EH38D3039342	EH38E1937186	pELS,CTCF-bound
chr19	8322697	8323004	EH38D3039343	EH38E1937187	pELS
chr19	8323730	8323930	EH38D3039344	EH38E1937188	dELS
chr19	8324451	8324671	EH38D3039346	EH38E1937190	dELS,CTCF-bound
chr19	8333002	8333298	EH38D3039354	EH38E1937195	pELS,CTCF-bound
chr19	8333673	8333991	EH38D3039355	EH38E1937196	pELS
chr19	8334480	8334815	EH38D3039357	EH38E1937197	pELS,CTCF-bound
chr19	8335053	8335379	EH38D3039358	EH38E1937198	pELS,CTCF-bound
chr19	8335382	8335581	EH38D3039359	EH38E1937199	pELS,CTCF-bound
chr19	8335617	8335868	EH38D3039360	EH38E1937200	pELS,CTCF-bound
chr19	8335927	8336112	EH38D3039361	EH38E1937201	pELS,CTCF-bound
chr19	8336169	8336511	EH38D3039362	EH38E1937202	pELS
chr19	8340667	8341015	EH38D3039367	EH38E1937206	dELS,CTCF-bound
chr19	8343184	8343532	EH38D3039371	EH38E1937210	PLS,CTCF-bound
chr19	8347752	8348069	EH38D3039375	EH38E1937212	DNase-H3K4me3,CTCF-bound
chr19	8352347	8352584	EH38D3039377	EH38E1937214	dELS,CTCF-bound
chr19	8352689	8352850	EH38D3039378	EH38E1937215	dELS
chr19	8352898	8353172	EH38D3039379	EH38E1937216	dELS,CTCF-bound
chr19	8353900	8354243	EH38D3039380	EH38E1937217	dELS,CTCF-bound
chr19	8354331	8354484	EH38D3039381	EH38E1937218	dELS,CTCF-bound
chr19	8355635	8355981	EH38D3039382	EH38E1937219	dELS,CTCF-bound
chr19	8357299	8357515	EH38D3039384	EH38E1937221	dELS,CTCF-bound
chr19	8361987	8362335	EH38D3039388	EH38E1937224	pELS
chr19	8362574	8362783	EH38D3039389	EH38E1937225	pELS
chr19	8363173	8363392	EH38D3039390	EH38E1937226	pELS,CTCF-bound
chr19	8363541	8363732	EH38D3039391	EH38E1937227	pELS,CTCF-bound
chr19	8363836	8364174	EH38D3039392	EH38E1937228	PLS,CTCF-bound
chr19	8364340	8364565	EH38D3039393	EH38E1937229	pELS,CTCF-bound
chr19	8364591	8364745	EH38D3039394	EH38E1937230	pELS,CTCF-bound
chr19	8366978	8367221	EH38D3039399	EH38E1937235	dELS
chr19	8367295	8367644	EH38D3039400	EH38E1937236	dELS
chr19	8370540	8370694	EH38D3039406	EH38E1937240	dELS
chr19	8370768	8371105	EH38D3039407	EH38E1937241	dELS
chr19	8371233	8371407	EH38D3039408	EH38E1937242	dELS,CTCF-bound
chr19	8373640	8373953	EH38D3039410	EH38E1937244	dELS,CTCF-bound
chr19	8374220	8374537	EH38D3039411	EH38E1937245	dELS,CTCF-bound
chr19	8385632	8385877	EH38D3039421	EH38E1937252	dELS
chr19	8385940	8386153	EH38D3039422	EH38E1937253	dELS,CTCF-bound
chr19	8387792	8388005	EH38D3039423	EH38E1937254	pELS
chr19	8388151	8388501	EH38D3039424	EH38E1937255	pELS
chr19	8389978	8390328	EH38D3039426	EH38E1937257	PLS,CTCF-bound
chr19	8390609	8390959	EH38D3039427	EH38E1937258	PLS,CTCF-bound
chr19	8391254	8391554	EH38D3039428	EH38E1937259	pELS
chr19	8391784	8391987	EH38D3039429	EH38E1937260	pELS
chr19	8394449	8394799	EH38D3039433	EH38E1937264	dELS
chr19	8394831	8395179	EH38D3039434	EH38E1937265	dELS,CTCF-bound
chr19	8396631	8396980	EH38D3039437	EH38E1937268	dELS,CTCF-bound
chr19	8412992	8413342	EH38D3039458	EH38E1937281	PLS,CTCF-bound
chr19	8413567	8413769	EH38D3039459	EH38E1937282	pELS,CTCF-bound
chr19	8418106	8418456	EH38D3039466	EH38E1937286	pELS,CTCF-bound
chr19	8421996	8422204	EH38D3039467	EH38E1937287	dELS,CTCF-bound
chr19	8423170	8423399	EH38D3039469	EH38E1937289	dELS,CTCF-bound
chr19	8423404	8423716	EH38D3039470	EH38E1937290	dELS,CTCF-bound
chr19	8423924	8424274	EH38D3039471	EH38E1937291	dELS,CTCF-bound
chr19	8434403	8434728	EH38D3039478	EH38E1937297	dELS,CTCF-bound
chr19	8441834	8442027	EH38D3039484	EH38E1937302	dELS
chr19	8444700	8445049	EH38D3039487	EH38E1937304	PLS,CTCF-bound
chr19	8445083	8445251	EH38D3039488	EH38E1937305	PLS,CTCF-bound
chr19	8445336	8445526	EH38D3039489	EH38E1937306	PLS,CTCF-bound
chr19	8445560	8445898	EH38D3039490	EH38E1937307	PLS,CTCF-bound
chr19	8446114	8446387	EH38D3039491	EH38E1937308	pELS
chr19	8447242	8447588	EH38D3039493	EH38E1937310	pELS,CTCF-bound
chr19	8449902	8450146	EH38D3039496	EH38E1937313	dELS
chr19	8451923	8452223	EH38D3039498	EH38E1937315	dELS
chr19	8456094	8456419	EH38D3039502	EH38E1937318	dELS,CTCF-bound
chr19	8459620	8459915	EH38D3039509	EH38E1937325	dELS
chr19	8459934	8460223	EH38D3039510	EH38E1937326	dELS,CTCF-bound
chr19	8461459	8461618	EH38D3039513	EH38E1937329	dELS
chr19	8466098	8466443	EH38D3039518	EH38E1937334	dELS
chr19	8473670	8473998	EH38D3039527	EH38E1937342	dELS
chr19	8474186	8474534	EH38D3039528	EH38E1937343	dELS
chr19	8480769	8481100	EH38D3039538	EH38E1937353	dELS,CTCF-bound
chr19	8484372	8484714	EH38D3039543	EH38E1937358	dELS
chr19	8486842	8487057	EH38D3039544	EH38E1937359	dELS,CTCF-bound
chr19	8487127	8487328	EH38D3039545	EH38E1937360	dELS,CTCF-bound
chr19	8487497	8487836	EH38D3039546	EH38E1937361	dELS,CTCF-bound
chr19	8488365	8488712	EH38D3039547	EH38E1937362	dELS,CTCF-bound
chr19	8489506	8489856	EH38D3039548	EH38E1937363	dELS
chr19	8489978	8490207	EH38D3039549	EH38E1937364	dELS,CTCF-bound
chr19	8491637	8491852	EH38D3039551	EH38E1937366	dELS,CTCF-bound
chr19	8494215	8494560	EH38D3039552	EH38E1937367	dELS,CTCF-bound
chr19	8500231	8500577	EH38D3039556	EH38E1937370	dELS,CTCF-bound
chr19	8501891	8502100	EH38D3039558	EH38E1937372	pELS,CTCF-bound
chr19	8502113	8502277	EH38D3039559	EH38E1937373	pELS,CTCF-bound
chr19	8502478	8502747	EH38D3039560	EH38E1937374	pELS,CTCF-bound
chr19	8503598	8503803	EH38D3039562	EH38E1937376	pELS,CTCF-bound
chr19	8504267	8504479	EH38D3039563	EH38E1937377	pELS,CTCF-bound
chr19	8504766	8504954	EH38D3039564	EH38E1937378	pELS,CTCF-bound
chr19	8505072	8505293	EH38D3039565	EH38E1937379	dELS,CTCF-bound
chr19	8505823	8506104	EH38D3039566	EH38E1937380	dELS,CTCF-bound
chr19	8506148	8506396	EH38D3039567	EH38E1937381	dELS,CTCF-bound
chr19	8506403	8506589	EH38D3039568	EH38E1937382	dELS,CTCF-bound
chr19	8506610	8506885	EH38D3039569	EH38E1937383	dELS,CTCF-bound
chr19	8511884	8512073	EH38D3039573	EH38E1937385	dELS,CTCF-bound
chr19	8512209	8512438	EH38D3039574	EH38E1937386	pELS
chr19	8513281	8513524	EH38D3039576	EH38E1937387	pELS,CTCF-bound
chr19	8513655	8514001	EH38D3039577	EH38E1937388	pELS,CTCF-bound
chr19	8514027	8514326	EH38D3039578	EH38E1937389	PLS,CTCF-bound
chr19	8515422	8515772	EH38D3039580	EH38E1937391	pELS,CTCF-bound
chr19	8517538	8517885	EH38D3039582	EH38E1937392	dELS
chr19	8518057	8518357	EH38D3039583	EH38E1937393	dELS
chr19	8525636	8525986	EH38D3039590	EH38E1937397	dELS
chr19	8526252	8526595	EH38D3039591	EH38E1937398	dELS,CTCF-bound
chr19	8526779	8527097	EH38D3039592	EH38E1937399	dELS
chr19	8540662	8540946	EH38D3039605	EH38E1937408	dELS,CTCF-bound
chr19	8564624	8564841	EH38D3039612	EH38E1937413	dELS,CTCF-bound
chr19	8566890	8567238	EH38D3039614	EH38E1937415	dELS
chr19	8567749	8568098	EH38D3039615	EH38E1937416	dELS,CTCF-bound
chr19	8569153	8569500	EH38D3039617	EH38E1937418	dELS,CTCF-bound
chr19	8569574	8569834	EH38D3039618	EH38E1937419	dELS,CTCF-bound
chr19	8570996	8571334	EH38D3039619	EH38E1937420	dELS,CTCF-bound
chr19	8573259	8573598	EH38D3039620	EH38E1937421	dELS
chr19	8575739	8575890	EH38D3039624	EH38E1937425	pELS,CTCF-bound
chr19	8576238	8576579	EH38D3039625	EH38E1937426	pELS,CTCF-bound
chr19	8576685	8577030	EH38D3039626	EH38E1937427	pELS,CTCF-bound
chr19	8577349	8577648	EH38D3039627	EH38E1937428	PLS,CTCF-bound
chr19	8578763	8579052	EH38D3039628	EH38E1937429	pELS,CTCF-bound
chr19	8580765	8581114	EH38D3039632	EH38E1937433	pELS,CTCF-bound
chr19	8582391	8582723	EH38D3039635	EH38E1937435	pELS,CTCF-bound
chr19	8586023	8586187	EH38D3039640	EH38E1937439	dELS,CTCF-bound
chr19	8591773	8591937	EH38D3039644	EH38E1937443	pELS,CTCF-bound
chr19	8592173	8592350	EH38D3039645	EH38E1937444	PLS,CTCF-bound
chr19	8592392	8592728	EH38D3039646	EH38E1937445	pELS,CTCF-bound
chr19	8594057	8594228	EH38D3039647	EH38E1937446	pELS,CTCF-bound
chr19	8609170	8609370	EH38D3039657	EH38E1937454	pELS,CTCF-bound
chr19	8609470	8609782	EH38D3039658	EH38E1937455	pELS,CTCF-bound
chr19	8609942	8610171	EH38D3039659	EH38E1937456	pELS,CTCF-bound
chr19	8610219	8610556	EH38D3039660	EH38E1937457	pELS,CTCF-bound
chr19	8610604	8610883	EH38D3039661	EH38E1937458	PLS,CTCF-bound
chr19	8610959	8611193	EH38D3039662	EH38E1937459	pELS
chr19	8611852	8612200	EH38D3039665	EH38E1937462	pELS,CTCF-bound
chr19	8612237	8612560	EH38D3039666	EH38E1937463	pELS
chr19	8615095	8615441	EH38D3039668	EH38E1937465	dELS,CTCF-bound
chr19	8615836	8615997	EH38D3039670	EH38E1937466	dELS,CTCF-bound
chr19	8622951	8623148	EH38D3039675	EH38E1937469	CTCF-only,CTCF-bound
chr19	8630824	8631106	EH38D3039678	EH38E1937470	pELS
chr19	8631225	8631376	EH38D3039679	EH38E1937471	pELS,CTCF-bound
chr19	8631389	8631663	EH38D3039680	EH38E1937472	pELS
chr19	8633627	8633965	EH38D3039682	EH38E1937474	dELS
chr19	8637195	8637363	EH38D3039684	EH38E1937476	dELS,CTCF-bound
chr19	8638209	8638549	EH38D3039685	EH38E1937477	dELS,CTCF-bound
chr19	8639877	8640210	EH38D3039687	EH38E1937479	dELS,CTCF-bound
chr19	8640287	8640636	EH38D3039688	EH38E1937480	dELS,CTCF-bound
chr19	8642120	8642322	EH38D3039690	EH38E1937481	dELS,CTCF-bound
chr19	8642618	8642940	EH38D3039691	EH38E1937482	dELS,CTCF-bound
chr19	8646399	8646745	EH38D3039695	EH38E1937486	dELS
chr19	8650150	8650393	EH38D3039699	EH38E1937490	dELS
chr19	8654688	8654890	EH38D3039701	EH38E1937491	dELS,CTCF-bound
chr19	8655310	8655659	EH38D3039703	EH38E1937492	dELS,CTCF-bound
chr19	8671294	8671629	EH38D3039713	EH38E1937502	dELS
chr19	8681425	8681659	EH38D3039718	EH38E1937506	dELS
chr19	8681672	8682012	EH38D3039719	EH38E1937507	dELS
chr19	8694237	8694584	EH38D3039724	EH38E1937512	pELS,CTCF-bound
chr19	8698171	8698468	EH38D3039727	EH38E1937514	pELS,CTCF-bound
chr19	8826455	8826717	EH38D3039743	EH38E1937524	dELS,CTCF-bound
chr19	8831901	8832120	EH38D3039746	EH38E1937527	pELS,CTCF-bound
chr19	8832179	8832447	EH38D3039747	EH38E1937528	PLS,CTCF-bound
chr19	8832592	8832942	EH38D3039748	EH38E1937529	pELS,CTCF-bound
chr19	8833122	8833294	EH38D3039749	EH38E1937530	PLS,CTCF-bound
chr19	8988246	8988590	EH38D3039785	EH38E1937552	dELS,CTCF-bound
chr19	9008760	9009092	EH38D3039791	EH38E1937553	dELS
chr19	9009558	9009770	EH38D3039792	EH38E1937554	dELS
chr19	9010041	9010240	EH38D3039793	EH38E1937555	dELS,CTCF-bound
chr19	9010302	9010650	EH38D3039794	EH38E1937556	dELS,CTCF-bound
chr19	9010756	9010976	EH38D3039795	EH38E1937557	dELS,CTCF-bound
chr19	9014815	9015134	EH38D3039796	EH38E1937558	dELS,CTCF-bound
chr19	9018167	9018505	EH38D3039798	EH38E1937560	pELS
chr19	9018541	9018873	EH38D3039799	EH38E1937561	pELS
chr19	9032203	9032552	EH38D3039805	EH38E1937565	dELS
chr19	9039794	9040014	EH38D3039808	EH38E1937567	dELS
chr19	9040203	9040439	EH38D3039809	EH38E1937568	dELS,CTCF-bound
chr19	9050493	9050795	EH38D3039813	EH38E1937572	dELS
chr19	9050796	9051024	EH38D3039814	EH38E1937573	dELS
chr19	9054810	9055158	EH38D3039818	EH38E1937577	dELS
chr19	9055386	9055736	EH38D3039819	EH38E1937578	dELS,CTCF-bound
chr19	9059045	9059228	EH38D3039822	EH38E1937581	dELS,CTCF-bound
chr19	9059298	9059603	EH38D3039823	EH38E1937582	dELS
chr19	9060722	9061062	EH38D3039824	EH38E1937583	dELS
chr19	9061089	9061250	EH38D3039825	EH38E1937584	dELS,CTCF-bound
chr19	9061928	9062205	EH38D3039826	EH38E1937585	dELS
chr19	9070084	9070418	EH38D3039829	EH38E1937587	dELS
chr19	9073792	9074138	EH38D3039830	EH38E1937588	dELS
chr19	9074926	9075150	EH38D3039831	EH38E1937589	dELS
chr19	9075352	9075516	EH38D3039832	EH38E1937590	dELS
chr19	9075570	9075920	EH38D3039833	EH38E1937591	dELS,CTCF-bound
chr19	9079747	9080071	EH38D3039837	EH38E1937595	dELS,CTCF-bound
chr19	9128173	9128523	EH38D3039844	EH38E1937598	pELS
chr19	9136497	9136835	EH38D3039850	EH38E1937600	DNase-H3K4me3,CTCF-bound
chr19	9139774	9139975	EH38D3039853	EH38E1937602	pELS,CTCF-bound
chr19	9140188	9140538	EH38D3039854	EH38E1937603	PLS,CTCF-bound
chr19	9140553	9140703	EH38D3039855	EH38E1937604	pELS,CTCF-bound
chr19	9140716	9140867	EH38D3039856	EH38E1937605	pELS,CTCF-bound
chr19	9205554	9205890	EH38D3039874	EH38E1937612	DNase-H3K4me3,CTCF-bound
chr19	9295504	9295843	EH38D3039889	EH38E1937618	dELS
chr19	9296383	9296733	EH38D3039890	EH38E1937619	dELS
chr19	9306450	9306797	EH38D3039891	EH38E1937620	pELS
chr19	9309327	9309508	EH38D3039895	EH38E1937624	PLS,CTCF-bound
chr19	9309526	9309684	EH38D3039896	EH38E1937625	PLS,CTCF-bound
chr19	9309685	9310032	EH38D3039897	EH38E1937626	pELS,CTCF-bound
chr19	9310039	9310206	EH38D3039898	EH38E1937627	pELS,CTCF-bound
chr19	9312156	9312379	EH38D3039899	EH38E1937628	DNase-H3K4me3,CTCF-bound
chr19	9323534	9323883	EH38D3039905	EH38E1937632	PLS,CTCF-bound
chr19	9324006	9324356	EH38D3039906	EH38E1937633	PLS,CTCF-bound
chr19	9324723	9324924	EH38D3039907	EH38E1937634	pELS
chr19	9362930	9363271	EH38D3039917	EH38E1937639	PLS
chr19	9406972	9407322	EH38D3039924	EH38E1937642	PLS,CTCF-bound
chr19	9407886	9408226	EH38D3039926	EH38E1937644	pELS
chr19	9431515	9431816	EH38D3039934	EH38E1937648	dELS,CTCF-bound
chr19	9435125	9435277	EH38D3039937	EH38E1937650	PLS,CTCF-bound
chr19	9435402	9435752	EH38D3039938	EH38E1937651	PLS,CTCF-bound
chr19	9456330	9456626	EH38D3039944	EH38E1937655	dELS,CTCF-bound
chr19	9474886	9475223	EH38D3039946	EH38E1937657	dELS
chr19	9498294	9498495	EH38D3039950	EH38E1937659	pELS,CTCF-bound
chr19	9498508	9498858	EH38D3039951	EH38E1937660	PLS,CTCF-bound
chr19	9528795	9529132	EH38D3039957	EH38E1937663	dELS
chr19	9538226	9538399	EH38D3039964	EH38E1937670	PLS,CTCF-bound
chr19	9538505	9538840	EH38D3039965	EH38E1937671	PLS,CTCF-bound
chr19	9538843	9539014	EH38D3039966	EH38E1937672	PLS,CTCF-bound
chr19	9539950	9540293	EH38D3039968	EH38E1937673	pELS
chr19	9565953	9566203	EH38D3039975	EH38E1937676	dELS,CTCF-bound
chr19	9566806	9567107	EH38D3039977	EH38E1937678	dELS,CTCF-bound
chr19	9582229	9582552	EH38D3039985	EH38E1937686	dELS
chr19	9583834	9584015	EH38D3039987	EH38E1937688	pELS
chr19	9584060	9584210	EH38D3039988	EH38E1937689	pELS,CTCF-bound
chr19	9584216	9584386	EH38D3039989	EH38E1937690	PLS,CTCF-bound
chr19	9584390	9584739	EH38D3039990	EH38E1937691	PLS,CTCF-bound
chr19	9584757	9585003	EH38D3039991	EH38E1937692	pELS,CTCF-bound
chr19	9586720	9587066	EH38D3039992	EH38E1937693	DNase-H3K4me3,CTCF-bound
chr19	9587884	9588080	EH38D3039993	EH38E1937694	CTCF-only,CTCF-bound
chr19	9596116	9596452	EH38D3039997	EH38E1937696	dELS,CTCF-bound
chr19	9596997	9597347	EH38D3039998	EH38E1937697	dELS
chr19	9621053	9621398	EH38D3040011	EH38E1937703	PLS,CTCF-bound
chr19	9621403	9621562	EH38D3040012	EH38E1937704	PLS,CTCF-bound
chr19	9621716	9622066	EH38D3040013	EH38E1937705	pELS,CTCF-bound
chr19	9622583	9622889	EH38D3040015	EH38E1937706	pELS
chr19	9625820	9626169	EH38D3040018	EH38E1937708	dELS,CTCF-bound
chr19	9644538	9644867	EH38D3040026	EH38E1937715	dELS
chr19	9645533	9645750	EH38D3040027	EH38E1937716	dELS,CTCF-bound
chr19	9649468	9649631	EH38D3040028	EH38E1937717	dELS
chr19	9673104	9673285	EH38D3040043	EH38E1937727	pELS
chr19	9674062	9674393	EH38D3040044	EH38E1937728	pELS
chr19	9674564	9674755	EH38D3040045	EH38E1937729	pELS,CTCF-bound
chr19	9674777	9674930	EH38D3040046	EH38E1937730	PLS,CTCF-bound
chr19	9674930	9675270	EH38D3040047	EH38E1937731	PLS,CTCF-bound
chr19	9675271	9675421	EH38D3040048	EH38E1937732	pELS,CTCF-bound
chr19	9709317	9709656	EH38D3040066	EH38E1937742	dELS,CTCF-bound
chr19	9721890	9722235	EH38D3040072	EH38E1937745	PLS,CTCF-bound
chr19	9736047	9736298	EH38D3040079	EH38E1937751	DNase-H3K4me3,CTCF-bound
chr19	9741500	9741846	EH38D3040081	EH38E1937752	dELS
chr19	9767910	9768207	EH38D3040088	EH38E1937757	pELS,CTCF-bound
chr19	9768220	9768421	EH38D3040089	EH38E1937758	PLS,CTCF-bound
chr19	9768554	9768904	EH38D3040090	EH38E1937759	PLS,CTCF-bound
chr19	9768908	9769078	EH38D3040091	EH38E1937760	pELS,CTCF-bound
chr19	9769170	9769368	EH38D3040092	EH38E1937761	pELS
chr19	9784312	9784614	EH38D3040098	EH38E1937764	dELS
chr19	9784783	9785024	EH38D3040099	EH38E1937765	dELS
chr19	9785132	9785288	EH38D3040100	EH38E1937766	dELS,CTCF-bound
chr19	9785493	9785649	EH38D3040101	EH38E1937767	dELS,CTCF-bound
chr19	9785659	9786009	EH38D3040102	EH38E1937768	dELS,CTCF-bound
chr19	9786020	9786320	EH38D3040103	EH38E1937769	dELS,CTCF-bound
chr19	9786860	9787190	EH38D3040105	EH38E1937771	dELS
chr19	9788280	9788433	EH38D3040106	EH38E1937772	dELS
chr19	9789119	9789370	EH38D3040107	EH38E1937773	dELS
chr19	9789599	9789949	EH38D3040108	EH38E1937774	dELS
chr19	9790238	9790392	EH38D3040109	EH38E1937775	dELS,CTCF-bound
chr19	9791688	9791952	EH38D3040112	EH38E1937777	pELS,CTCF-bound
chr19	9791954	9792155	EH38D3040113	EH38E1937778	pELS,CTCF-bound
chr19	9792280	9792461	EH38D3040114	EH38E1937779	pELS,CTCF-bound
chr19	9792514	9792863	EH38D3040115	EH38E1937780	pELS,CTCF-bound
chr19	9793099	9793388	EH38D3040116	EH38E1937781	pELS,CTCF-bound
chr19	9793495	9793714	EH38D3040117	EH38E1937782	PLS,CTCF-bound
chr19	9796126	9796476	EH38D3040118	EH38E1937783	dELS,CTCF-bound
chr19	9797886	9798204	EH38D3040119	EH38E1937784	dELS
chr19	9806824	9807171	EH38D3040123	EH38E1937787	dELS
chr19	9808874	9809223	EH38D3040124	EH38E1937788	dELS
chr19	9809622	9809803	EH38D3040125	EH38E1937789	dELS
chr19	9818248	9818491	EH38D3040128	EH38E1937791	pELS,CTCF-bound
chr19	9818506	9818685	EH38D3040129	EH38E1937792	pELS,CTCF-bound
chr19	9818800	9818960	EH38D3040130	EH38E1937793	PLS,CTCF-bound
chr19	9819158	9819508	EH38D3040131	EH38E1937794	pELS,CTCF-bound
chr19	9819550	9819743	EH38D3040132	EH38E1937795	pELS,CTCF-bound
chr19	9823447	9823784	EH38D3040138	EH38E1937800	dELS
chr19	9823883	9824229	EH38D3040139	EH38E1937801	dELS,CTCF-bound
chr19	9827070	9827309	EH38D3040140	EH38E1937802	pELS
chr19	9827326	9827536	EH38D3040141	EH38E1937803	pELS,CTCF-bound
chr19	9827565	9827911	EH38D3040142	EH38E1937804	PLS,CTCF-bound
chr19	9828292	9828446	EH38D3040143	EH38E1937805	pELS,CTCF-bound
chr19	9828512	9828831	EH38D3040144	EH38E1937806	pELS,CTCF-bound
chr19	9834319	9834573	EH38D3040146	EH38E1937807	pELS
chr19	9834716	9834931	EH38D3040147	EH38E1937808	PLS,CTCF-bound
chr19	9834970	9835319	EH38D3040148	EH38E1937809	PLS,CTCF-bound
chr19	9835573	9835817	EH38D3040149	EH38E1937810	pELS,CTCF-bound
chr19	9836097	9836389	EH38D3040151	EH38E1937811	pELS,CTCF-bound
chr19	9847026	9847372	EH38D3040158	EH38E1937817	dELS,CTCF-bound
chr19	9848123	9848403	EH38D3040160	EH38E1937818	dELS,CTCF-bound
chr19	9850221	9850521	EH38D3040163	EH38E1937821	dELS
chr19	9865812	9866000	EH38D3040175	EH38E1937830	dELS
chr19	9866236	9866584	EH38D3040176	EH38E1937831	dELS
chr19	9871760	9871929	EH38D3040182	EH38E1937837	dELS
chr19	9877791	9878120	EH38D3040186	EH38E1937841	dELS
chr19	9878128	9878280	EH38D3040187	EH38E1937842	dELS,CTCF-bound
chr19	9878552	9878898	EH38D3040188	EH38E1937843	dELS
chr19	9883377	9883725	EH38D3040192	EH38E1937846	dELS
chr19	9883810	9884008	EH38D3040193	EH38E1937847	dELS,CTCF-bound
chr19	9885199	9885549	EH38D3040194	EH38E1937848	CTCF-only,CTCF-bound
chr19	9889651	9889997	EH38D3040195	EH38E1937849	dELS
chr19	9890406	9890647	EH38D3040196	EH38E1937850	dELS,CTCF-bound
chr19	9906713	9907063	EH38D3040208	EH38E1937857	dELS
chr19	9913641	9913977	EH38D3040214	EH38E1937860	dELS,CTCF-bound
